SAMPLE;SPECIES_NAME_PRINT;FAMILY;SUBFAMILY;SUPERTRIBE;TRIBE;GENUS;SPECIES;DATASET;powo_identifier;gbif_identifier;WCVP_continent;WCVP_geographic_area;WCVP_lifeform_description;WCVP_climate_description;GROWTH_FORM;SOCIETAL_USE;COMMON_NAME;DUTCH_NAME;GENUS_TYPE
S1111;Cuprella homalocarpa;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Cuprella;homalocarpa;BrassiWood/Kasper Hendriks;77151974-1;10953266;AFRICA;Egypt to SW. Pakistan;annual;subtropical;H;NA;NA;NA;NA
S1113;Draba funckii;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Draba;funckii;BrassiWood/Kasper Hendriks;276050-2;3049433;SOUTHERN AMERICA;NW. Venezuela;subshrub;montane tropical;W;NA;NA;NA;NA
S1114;Diceratella floccosa;Brassicaceae;Brassicoideae;Heliophilodae (V);Anastaticeae;Diceratella;floccosa;BrassiWood/Kasper Hendriks;282093-1;5374697;ASIA-TEMPERATE;S. Iran to SW. Pakistan;subshrub;subtropical;W;NA;NA;NA;Y
S1116;Lemphoria humistrata;Brassicaceae;Brassicoideae;Camelinodae (I);Microlepidieae;Lemphoria;humistrata;BrassiWood/Kasper Hendriks;281894-1;12366755;AUSTRALASIA;C. New South Wales;annual;subtropical;H;NA;NA;NA;Y
S1117;Weberbauera densifolia;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Weberbauera;densifolia;BrassiWood/Kasper Hendriks;287015-2;3047745;SOUTHERN AMERICA;Bolivia to Argentina (Catamarca);NA;subtropical;H;NA;NA;NA;Y
S1118;Ivania cremnophila;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Ivania;cremnophila;BrassiWood/Kasper Hendriks;130772-2;5374714;SOUTHERN AMERICA;Chile (Atacama);perennial;desert or dry shrubland;H;NA;NA;NA;Y
S1119;Cremolobus suffruticosus;Brassicaceae;Brassicoideae;Heliophilodae (V);Cremolobeae;Cremolobus;suffruticosus;BrassiWood/Kasper Hendriks;281706-1;3041486;SOUTHERN AMERICA;Peru;subshrub;subtropical;W;NA;NA;NA;NA
S1120;Alyssum lassiticum;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Alyssum;lassiticum;BrassiWood/Kasper Hendriks;277585-1;3045074;EUROPE;E. Kriti (Dhikti);subshrub;temperate;W;NA;NA;NA;NA
S1121;Draba funckii;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Draba;funckii;BrassiWood/Kasper Hendriks;276050-2;3049433;SOUTHERN AMERICA;NW. Venezuela;subshrub;montane tropical;W;NA;NA;NA;NA
S1128;Eunomia oppositifolia;Brassicaceae;Brassicoideae;Brassicodae (II);Coluteocarpeae;Eunomia;oppositifolia;BrassiWood/Kasper Hendriks;77122964-1;5375579;ASIA-TEMPERATE;Lebanon;subshrub;temperate;H;NA;NA;NA;Y
S1129;Vania campylophylla;Brassicaceae;Brassicoideae;Brassicodae (II);Coluteocarpeae;Vania;campylophylla;BrassiWood/Kasper Hendriks;60466571-2;5375918;ASIA-TEMPERATE;Türkiye;NA;temperate;H;NA;NA;NA;Y
S1148;Aethionema acarii;Brassicaceae;Aethionemoideae;NA;Aethionemeae;Aethionema;acarii;BrassiWood/Kasper Hendriks;77249720-1;3051063;EUROPE;North Macedonia to EC. Greece;subshrub;temperate;H;NA;NA;NA;NA
