SAMPLE;SPECIES_NAME_PRINT;AUTHOR;FAMILY;SUBFAMILY;SUPERTRIBE;TRIBE;GENUS;SPECIES;DATASET;powo_id;gbif_usageKey;iNaturalist_id;WCVP_continent;WCVP_geographic_area;WCVP_WGSRPD_LEVEL_1_native;WCVP_WGSRPD_LEVEL_1_introduced;WCVP_WGSRPD_LEVEL_1_extinct;WCVP_WGSRPD_LEVEL_2_native;WCVP_WGSRPD_LEVEL_2_introduced;WCVP_WGSRPD_LEVEL_2_extinct;WCVP_WGSRPD_LEVEL_3_native;WCVP_WGSRPD_LEVEL_3_introduced;WCVP_WGSRPD_LEVEL_3_extinct;WCVP_lifeform_description;WCVP_climate_description;GROWTH_FORM;SOCIETAL_USE;COMMON_NAME;DUTCH_NAME;IUCN_redlistCategory;NCBI_SRA_id
SRR8528370;Chorispora tenella;DC.;Brassicaceae;Brassicoideae;Hesperodae (III);Chorisporeae;Chorispora;tenella;BrassiToL/Luke Nikolov;281254-1;3044349;76301;EUROPE;SE. & E. Europe to China;1, 3, 4;1, 2, 3, 7, 8;NA;13, 14, 30, 32, 33, 34, 36, 37, 40;11, 14, 20, 31, 38, 71, 73, 74, 75, 76, 77, 78, 85;NA;AFG, ALT, BUL, CHI, CHM, CHN, CHQ, CHS, CHX, IRN, KAZ, KGZ, KRY, LBS, MON, NCS, PAK, RUC, RUE, RUS, TCS, TKM, TUR, TZK, UKR, UZB, WHM, WSB, YUG;ABT, AGS, AGW, ALG, ARI, AUT, BLR, BLT, BRC, CAL, COL, CZE, IDA, ILL, INI, IOW, JAP, KAN, KOR, KTY, LOU, MAG, MAS, MIC, MNT, MSO, NDA, NEB, NEV, NWM, NWY, OHI, OKL, ORE, PRM, RUN, RUW, SAS, SDA, TEN, TEX, UTA, WAS, WYO;NA;annual;temperate;H;NA;blue mustard, common blue mustard, crossflower;NA;NA;SRR8528370
SRR8528386;Bivonaea lutea;DC.;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Bivonaea;lutea;BrassiToL/Luke Nikolov;279142-1;3051456;514614;EUROPE;C. Medit.;1, 2;NA;NA;12, 13, 20;NA;NA;ALG, SAR, SIC, TUN;NA;NA;annual;subtropical;H;NA;NA;NA;NA;SRR8528386
S0284;Ionopsidium acaule;DC. ex Rchb.;Brassicaceae;Brassicoideae;Unplaced;Cochlearieae;Ionopsidium;acaule;BrassiWood/Kasper Hendriks;285701-1;3040944;164074;EUROPE;W. & SW. Portugal, Morocco;1;1, 3;2;12;12, 13, 38;20;POR;FRA, ITA, JAP;MOR;annual;temperate;H;NA;false diamondflower;NA;Least Concern;SRR22519329
S0380;Psychine stylosa;Desf.;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Psychine;stylosa;BrassiWood/Kasper Hendriks;288248-1;3042183;1235451;AFRICA;NW. Africa;2;NA;NA;20;NA;NA;ALG, MOR, TUN;NA;NA;NA;subtropical;H;NA;NA;NA;NA;SRR22519570
S0315;Didesmus aegyptius;Desv.;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Didesmus;aegyptius;BrassiWood/Kasper Hendriks;282112-1;5375148;514216;EUROPE;E. Medit.;1, 2, 3;NA;NA;13, 20, 34;NA;NA;CYP, EGY, GRC, KRI, LBY;NA;NA;annual;subtropical;H;NA;NA;NA;NA;SRR22519610
S0555;Lobularia maritima;Desv.;Brassicaceae;Brassicoideae;Heliophilodae (V);Anastaticeae;Lobularia;maritima;BrassiWood/Kasper Hendriks;1085072-2;5373358;56992;EUROPE;W. & C. Medit. to Sinai;1, 2, 3;1, 2, 3, 4, 5, 6, 7, 8;NA;12, 13, 20, 34;10, 11, 13, 14, 21, 23, 27, 29, 30, 33, 34, 35, 36, 38, 40, 50, 51, 60, 61, 62, 63, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 83, 85;NA;ALG, BAL, COR, EGY, FRA, ITA, LBY, MOR, POR, SAR, SIC, SIN, SPA, TUN, YUG;AGE, AGW, ALA, ALB, ALT, ARI, AUT, AZO, BAN, BER, BGM, BOL, BRC, CAL, CHN, CHS, CHX, CLC, CLM, CLN, CLS, CNT, CNY, COL, CPP, CVI, CYP, CZE, DEL, DEN, DOM, EAI, ECU, ELS, FIJ, FLA, GEO, GGI, GRB, GRC, GUA, HAI, HAW, HUN, ILL, INI, IOW, IRE, KOR, KRI, KRY, LBS, LOU, MAI, MAS, MAU, MDR, MIC, MRS, MRY, MSI, MXC, MXN, NCA, NCS, NET, NFK, NOR, NSC, NSW, NWC, NWH, NWJ, NWM, NWY, NZN, OHI, ONT, ORE, PAK, PEN, PER, POL, QLD, QUE, RHO, ROM, RUC, SAU, SCA, SOA, SWE, TAI, TAS, TCS, TEX, TUB, TUR, TVL, URU, UTA, VER, VIC, WAS, WAU;NA;annual or subshrub;temperate;H;ornamental;sweet alison;zilverschildzaad;NA;SRR22519463
S0641;Neslia paniculata;Desv.;Brassicaceae;Brassicoideae;Camelinodae (I);Camelineae;Neslia;paniculata;BrassiWood/Kasper Hendriks;287664-1;9040863;129855;EUROPE;Europe to Russian Far East and N. China;1, 2, 3, 4;1, 3, 5, 7, 8;NA;10, 11, 12, 13, 14, 20, 30, 31, 32, 33, 34, 35, 36, 37, 40;10, 11, 14, 38, 50, 70, 71, 72, 73, 74, 75, 81, 85;NA;AFG, ALB, ALG, ALT, AMU, AUT, BAL, BLR, BLT, BRY, BUL, CHI, CHM, CHX, COR, CTA, CYP, CZE, DEN, EAI, EGY, FRA, GER, GRC, HUN, IRK, IRN, IRQ, ITA, KAM, KAZ, KGZ, KHA, KRA, KRI, KRY, KUW, LBS, LBY, MAG, MON, MOR, NCS, OMA, PAK, PAL, POL, POR, PRM, ROM, RUC, RUE, RUS, RUW, SAK, SAR, SAU, SIC, SIN, SPA, SWE, SWI, TCS, TKM, TUE, TUN, TUR, TVA, TZK, UKR, UZB, WHM, WSB, YAK, YUG;ABT, AGE, AGS, ASK, BGM, BRC, CNT, CUB, ILL, INI, KOR, MAI, MAN, MAS, MIC, MIN, MNT, NBR, NFL, NOR, NSC, NWH, NWT, NWY, OHI, ONT, PEN, QUE, RUN, SOA, TAI, VER, VIC, WIS, YUK;NA;annual;temperate;H;NA;ball mustard, ball-mustard, common ball-mustard, paniculate ball-mustard, yellow ball-mustard;vinkenzaad;NA;SRR22519564
S1210;Aurinia saxatilis;Desv.;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Aurinia;saxatilis;BrassiWood/Kasper Hendriks;278817-1;5377778;64616;EUROPE;C. Europe to N. Balkan Pen.;1, 3;1, 5, 7;NA;11, 13, 14, 34;10, 11, 12, 51, 72, 75, 76, 78;NA;ALB, AUT, BUL, CZE, EAI, GER, GRC, HUN, ITA, KRI, POL, ROM, RUS, TUE, TUR, UKR, YUG;BGM, CAL, CTM, FRA, GRB, MAS, MIC, MRY, MSI, NWH, NWY, NZS, OHI, QUE, VER;NA;subshrub;temperate;W;ornamental;basket of gold, gold dust, goldentuft, rock madwort;rotsschildzaad;NA;SRR22519638
S0664;Erucaria hispanica;Druce;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Erucaria;hispanica;BrassiWood/Kasper Hendriks;283447-1;5377678;346808;EUROPE;E. Medit. to Iran and Arabian Pen.;1, 2, 3;1, 2, 4;NA;13, 20, 34, 35;12, 13, 20, 40;NA;CYP, EAI, EGY, GRC, GST, IRN, IRQ, KRI, KUW, LBS, OMA, PAL, SAU, SIN, TUR;ALG, ITA, PAK, SPA;NA;annual or biennial;subtropical;H;NA;NA;NA;NA;SRR22519553
S0752;Otocarpus virgatus;Durieu;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Otocarpus;virgatus;BrassiWood/Kasper Hendriks;287892-1;3041181;1061869;AFRICA;Algeria;2;NA;NA;20;NA;NA;ALG;NA;NA;NA;subtropical;H;NA;NA;NA;NA;SRR22519342
S1214;Mummenhoffia alliacea;Esmailbegi & Al-Shehbaz;Brassicaceae;Brassicoideae;Brassicodae (II);Thlaspideae;Mummenhoffia;alliacea;BrassiWood/Kasper Hendriks;77186116-1;10944522;902691;EUROPE;EC. & S. Europe to N. Türkiye;1, 3;1, 7;NA;11, 12, 13, 14, 34;10, 11, 74, 75, 78;NA;ALB, AUT, BUL, FRA, GER, GRC, HUN, ITA, ROM, SIC, SPA, TUE, TUR, UKR, YUG;DEL, GEO, GRB, INI, KTY, LOU, MRY, MSO, NCA, NWJ, OHI, PEN, POL, SWI, TEN, VRG, WVA;NA;annual;temperate;H;NA;NA;NA;NA;SRR22519634
S1449;Lysakia rostrata;Esmailbegi & Al-Shehbaz;Brassicaceae;Brassicoideae;Brassicodae (II);Thlaspideae;Lysakia;rostrata;BrassiWood/Kasper Hendriks;77186113-1;10836841;902689;ASIA-TEMPERATE;Iran;3;NA;NA;34;NA;NA;IRN;NA;NA;annual;temperate;H;NA;NA;NA;NA;SRR22519474
S0738;Didymophysa fenestrata;Esmailbegi, D.A. German & Al-Shehbaz;Brassicaceae;Brassicoideae;Brassicodae (II);Thlaspideae;Didymophysa;fenestrata;BrassiWood/Kasper Hendriks;77186111-1;10817496;902668;ASIA-TEMPERATE;C. Iran;3;NA;NA;34;NA;NA;IRN;NA;NA;subshrub;temperate;W;NA;NA;NA;NA;SRR22519429
S0478;Leiospora exscapa;F. Dvo_�k;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Leiospora;exscapa;BrassiWood/Kasper Hendriks;20001828-1;3042136;804391;ASIA-TEMPERATE;S. Siberia to Mongolia and W. Himalaya;3, 4;NA;NA;30, 32, 36, 37, 40;NA;NA;ALT, BRY, CHX, KAZ, MON, TVA, WHM;NA;NA;perennial;subalpine or subarctic;H;NA;NA;NA;NA;SRR22519470
S0656;Micrantha multicaulis;F. Dvo_�k;Brassicaceae;Brassicoideae;Hesperodae (III);Anchonieae;Micrantha;multicaulis;BrassiWood/Kasper Hendriks;287084-1;5373619;NA;ASIA-TEMPERATE;W. & S. Iran;3;NA;NA;34;NA;NA;IRN;NA;NA;perennial;temperate;H;NA;NA;NA;NA;SRR22519558
S0741;Microlepidium pilosulum;F. Muell.;Brassicaceae;Brassicoideae;Camelinodae (I);Microlepidieae;Microlepidium;pilosulum;BrassiWood/Kasper Hendriks;287088-1;5376113;1249983;AUSTRALASIA;Southern Australia;5;NA;NA;50;NA;NA;SOA, VIC, WAU;NA;NA;annual;NA;H;NA;NA;NA;NA;SRR22519426
S0562;Microthlaspi perfoliatum;F.K. Mey.;Brassicaceae;Brassicoideae;Brassicodae (II);Coluteocarpeae;Microthlaspi;perfoliatum;BrassiWood/Kasper Hendriks;287109-1;3050631;NA;EUROPE;Europe to Xinjiang, N. Africa to N. Pakistan;1, 2, 3, 4;1, 3, 7;NA;10, 11, 12, 13, 14, 20, 30, 32, 33, 34, 35, 36, 40;10, 14, 31, 73, 74, 75, 77, 78;NA;AFG, ALB, ALG, ALT, AUT, BAL, BGM, BUL, CHX, COR, CYP, CZE, EAI, FRA, GER, GRB, GRC, HUN, IRN, IRQ, ITA, KAZ, KGZ, KRI, KRY, LBS, LBY, MOR, NCS, NET, PAK, PAL, POL, POR, ROM, RUC, RUS, SAR, SAU, SIC, SPA, SWI, TCS, TKM, TUE, TUN, TUR, TZK, UKR, UZB, YUG;BLR, BLT, DEN, ILL, INI, KAN, KTY, MRY, MSO, NCA, NWJ, NWY, OHI, PEN, PRM, RUE, SWE, TEN, TEX, VRG, WAS, WVA;NA;annual;temperate;H;NA;clasping-leaved pennycress, perfoliate pennycress, thoroughwort pennycress;doorgroeide boerenkers;NA;SRR22519460
S0613;Noccidium hastulatum;F.K. Mey.;Brassicaceae;Brassicoideae;Brassicodae (II);Coluteocarpeae;Noccidium;hastulatum;BrassiWood/Kasper Hendriks;287803-1;8620523;1451478;ASIA-TEMPERATE;SE. Transcaucasus to N. & C. Iran;3;NA;NA;33, 34;NA;NA;IRN, TCS;NA;NA;annual;temperate;H;NA;NA;NA;NA;SRR22519451
S0677;Kotschyella stenocarpa;F.K. Mey.;Brassicaceae;Brassicoideae;Brassicodae (II);Coluteocarpeae;Kotschyella;stenocarpa;BrassiWood/Kasper Hendriks;285964-1;3052736;NA;ASIA-TEMPERATE;Turkmenistan to Iran;3;NA;NA;32, 34;NA;NA;IRN, TKM;NA;NA;perennial;temperate;H;NA;NA;NA;NA;SRR22519547
S0758;Callothlaspi lilacinum;F.K. Mey.;Brassicaceae;Brassicoideae;Brassicodae (II);Coluteocarpeae;Callothlaspi;lilacinum;BrassiWood/Kasper Hendriks;279827-1;3052709;NA;ASIA-TEMPERATE;N. & EC. Türkiye;3;NA;NA;34;NA;NA;TUR;NA;NA;perennial;temperate;H;NA;NA;NA;NA;SRR22519336
S0956;Thlaspiceras rechingeri;F.K. Mey.;Brassicaceae;Brassicoideae;Brassicodae (II);Coluteocarpeae;Thlaspiceras;rechingeri;BrassiWood/Kasper Hendriks;290780-1;3052730;NA;ASIA-TEMPERATE;S. Türkiye;3;NA;NA;34;NA;NA;TUR;NA;NA;biennial;temperate;H;NA;NA;NA;NA;SRR22519538
S0959;Neurotropis orbiculata;F.K. Mey.;Brassicaceae;Brassicoideae;Brassicodae (II);Coluteocarpeae;Neurotropis;orbiculata;BrassiWood/Kasper Hendriks;287719-1;8575396;NA;ASIA-TEMPERATE;N. Türkiye to Caucasus;3;NA;NA;33, 34;NA;NA;NCS, TCS, TUR;NA;NA;annual;temperate;H;NA;NA;NA;NA;SRR22519536
S0964;Masmenia rosularis;F.K. Mey.;Brassicaceae;Brassicoideae;Brassicodae (II);Coluteocarpeae;Masmenia;rosularis;BrassiWood/Kasper Hendriks;286832-1;3052673;NA;ASIA-TEMPERATE;CS. Türkiye;3;NA;NA;34;NA;NA;TUR;NA;NA;biennial;temperate;H;NA;NA;NA;NA;SRR22519533
S1129;Vania campylophylla;F.K. Mey.;Brassicaceae;Brassicoideae;Brassicodae (II);Coluteocarpeae;Vania;campylophylla;BrassiWood/Kasper Hendriks;290983-1;5375918;NA;ASIA-TEMPERATE;Türkiye;3;NA;NA;34;NA;NA;TUR;NA;NA;NA;temperate;H;NA;NA;NA;NA;SRR22519508
S0901;Drabella muralis;Fourr.;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Drabella;muralis;BrassiWood/Kasper Hendriks;283210-1;5375971;NA;EUROPE;Europe, Medit. to Caucasus;1, 2, 3;1;NA;10, 11, 12, 13, 14, 20, 21, 33, 34;10, 11, 14;NA;ALB, ALG, AUT, BGM, BLT, BUL, COR, CZE, DEN, FIN, FRA, GER, GRB, GRC, HUN, ITA, KRI, KRY, MDR, MOR, NCS, NET, POR, ROM, SAR, SIC, SPA, SWE, SWI, TCS, TUR, YUG;BLR, IRE, NOR, POL, RUC;NA;annual or biennial;temperate;H;NA;NA;wit hongerbloempje;NA;SRR22519651
S1371;Dipoma iberideum;Franch.;Brassicaceae;Brassicoideae;Camelinodae (I);Hemilophieae;Dipoma;iberideum;BrassiWood/Kasper Hendriks;282252-1;3051349;903280;ASIA-TEMPERATE;China (Sichuan, Yunnan);3;NA;NA;36;NA;NA;CHC;NA;NA;perennial;subalpine or subarctic;H;NA;NA;NA;NA;SRR22519679
S0671;Armoracia rusticana;G. Gaertn., B. Mey. & Scherb.;Brassicaceae;Brassicoideae;Camelinodae (I);Cardamineae;Armoracia;rusticana;BrassiWood/Kasper Hendriks;278747-1;3041022;75566;EUROPE;S. Ukraine to S. European Russia;1;1, 3, 5, 6, 7, 8;NA;14;10, 11, 12, 13, 14, 30, 31, 32, 33, 34, 36, 38, 51, 62, 71, 72, 73, 74, 75, 76, 77, 78, 81;NA;RUS, UKR;ALB, ALT, AUT, BGM, BLR, BLT, BRC, BRY, BUL, CAL, CHM, CHN, CHS, CNT, COL, CZE, DEN, FIN, FRA, GER, GRB, HUN, IDA, ILL, INI, IOW, IRE, ITA, JAM, JAP, KAM, KAZ, KGZ, KOR, KRA, KTY, MAI, MAN, MAS, MIC, MIN, MNT, MRN, MRY, MSO, NBR, NCA, NCS, NDA, NEB, NET, NOR, NSC, NWH, NWJ, NWM, NWY, NZN, NZS, OHI, ONT, ORE, PEI, PEN, POL, PRM, QUE, RHO, ROM, RUC, RUE, RUN, RUW, SAK, SAS, SDA, SIC, SPA, SWE, SWI, TCS, TEN, TUE, TUR, TVA, TZK, UTA, UZB, VER, VRG, WAS, WIS, WVA, WYO, YUG;NA;perennial;temperate;H;crop;common horseradish, horseradish;mierik, mierikswortel;Least Concern;SRR22519548
S0957;Pugionium cornutum;Gaertn.;Brassicaceae;Brassicoideae;Heliophilodae (V);Megacarpaeeae;Pugionium;cornutum;BrassiWood/Kasper Hendriks;288314-1;3042082;903162;ASIA-TEMPERATE;N. China;3;NA;NA;36;NA;NA;CHI, CHN;NA;NA;annual;temperate;H;NA;NA;NA;NA;SRR22519537
S1148;Aethionema acarii;Gemici & Leblebici;Brassicaceae;Aethionemoideae;NA;Aethionemeae;Aethionema;acarii;BrassiWood/Kasper Hendriks;982510-1;3051063;NA;EUROPE;North Macedonia to EC. Greece;1, 3;NA;NA;13, 34;NA;NA;ALB, BUL, EAI, GRC, TUR, YUG;NA;NA;subshrub;temperate;H;NA;NA;NA;NA;SRR22519507
S0277;Aschersoniodoxa mandoniana;Gilg & Muschl.;Brassicaceae;Brassicoideae;Heliophilodae (V);Eudemeae;Aschersoniodoxa;mandoniana;BrassiWood/Kasper Hendriks;21131-2;3040885;792442;SOUTHERN AMERICA;Bolivia (La Paz);8;NA;NA;83;NA;NA;BOL;NA;NA;perennial or subshrub;montane tropical;H;NA;NA;NA;Near Threatened;SRR22519457
S0759;Sarcodraba karraikensis;Gilg & Muschl.;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Sarcodraba;karraikensis;BrassiWood/Kasper Hendriks;288829-1;3050984;NA;SOUTHERN AMERICA;Argentina (Santa Cruz);8;NA;NA;85;NA;NA;AGS;NA;NA;perennial;temperate;W;NA;NA;NA;NA;SRR22519335
S0667;Raffenaldia primuloides;Godr.;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Raffenaldia;primuloides;BrassiWood/Kasper Hendriks;288384-1;3041117;491176;AFRICA;Morocco to W. Algeria;2;NA;NA;20;NA;NA;ALG, MOR;NA;NA;perennial;temperate;H;NA;NA;NA;NA;SRR22519551
S_670;Sandbergia whitedii;Greene;Brassicaceae;Brassicoideae;Camelinodae (I);Boechereae;Sandbergia;whitedii;Boechereae/Nik Hay;288826-1;3051208;359548;NORTHERN AMERICA;S. British Columbia to N. Washington;7;NA;NA;71, 73;NA;NA;BRC, WAS;NA;NA;perennial;temperate;H;NA;NA;NA;NA;SRR22519320
S0279;Athysanus pusillus;Greene;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Athysanus;pusillus;BrassiWood/Kasper Hendriks;278766-1;5373588;58069;NORTHERN AMERICA;W. Canada to Mexico (Baja California);7;7;NA;71, 73, 76, 79;75;NA;ARI, BRC, CAL, IDA, MNT, MXN, NEV, ORE, WAS;NWY;NA;annual;temperate;H;NA;common sandweed, sandweed;NA;NA;SRR22519555
S0301;Polyctenium fremontii;Greene;Brassicaceae;Brassicoideae;Camelinodae (I);Boechereae;Polyctenium;fremontii;BrassiWood/Kasper Hendriks;205326-2;3047184;78670;NORTHERN AMERICA;W. U.S.A.;7;NA;NA;73, 76;NA;NA;CAL, IDA, NEV, ORE;NA;NA;subshrub;temperate;H;NA;NA;NA;NA;SRR22519381
S0427;Planodes virginicum;Greene;Brassicaceae;Brassicoideae;Camelinodae (I);Cardamineae;Planodes;virginicum;BrassiWood/Kasper Hendriks;1182133-2;5375347;78614;NORTHERN AMERICA;C., E. & S. U.S.A. to Mexico (Baja California Norte);7;NA;NA;74, 75, 76, 77, 78, 79;NA;NA;ALA, ARK, CAL, FLA, GEO, ILL, INI, IOW, KAN, KTY, LOU, MRY, MSI, MSO, MXN, NCA, OHI, OKL, SCA, TEN, TEX, VRG, WVA;NA;NA;annual;temperate;H;NA;NA;NA;NA;SRR22519356
S0764;Nerisyrenia linearifolia;Greene;Brassicaceae;Brassicoideae;Camelinodae (I);Physarieae;Nerisyrenia;linearifolia;BrassiWood/Kasper Hendriks;169612-2;3047261;165693;NORTHERN AMERICA;SC. U.S.A. to NE. Mexico;7;NA;NA;77, 79;NA;NA;MXE, NWM, TEX;NA;NA;perennial;desert or dry shrubland;H;NA;NA;NA;NA;SRR22519330
S0834;Abdra brachycarpa;Greene;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Abdra;brachycarpa;BrassiWood/Kasper Hendriks;277104-1;3049670;858879;NORTHERN AMERICA;N., C. & SE. U.S.A.;7;NA;NA;73, 74, 75, 76, 77, 78;NA;NA;ALA, ARI, ARK, FLA, GEO, ILL, INI, KAN, KTY, LOU, MSI, MSO, NCA, OHI, OKL, ORE, SCA, TEN, TEX, VRG;NA;NA;annual;temperate;H;NA;NA;NA;NA;SRR22519665
S1040;Sibara angelorum;Greene;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Sibara;angelorum;BrassiWood/Kasper Hendriks;298826-2;3048033;522994;NORTHERN AMERICA;Mexico (Baja California, Sonora);7;NA;NA;79;NA;NA;MXN;NA;NA;NA;desert or dry shrubland;H;NA;NA;NA;NA;SRR22519525
S0355;Lutzia cretica;Greuter & Burdet;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Lutzia;cretica;BrassiWood/Kasper Hendriks;912766-1;5376052;904053;EUROPE;Greece (Astypalia), Kriti (incl. K√°rpathos), E. Aegean Is. (Rodos);1, 3;NA;NA;13, 34;NA;NA;EAI, GRC, KRI;NA;NA;subshrub;subtropical;W;NA;NA;NA;NA;SRR22519576
S0897;Quidproquo confusum;Greuter & Burdet;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Quidproquo;confusum;BrassiWood/Kasper Hendriks;907583-1;3041016;904111;ASIA-TEMPERATE;S. Syria, Lebanon, Israel;3;NA;NA;34;NA;NA;LBS, PAL;NA;NA;annual;subtropical;H;NA;NA;NA;NA;SRR22519654
S1110;Aurinia gionae;Greuter & Burdet;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Aurinia;gionae;BrassiWood/Kasper Hendriks;912137-1;5377777;515640;EUROPE;NW. & C. Greece;1;NA;NA;13;NA;NA;GRC;NA;NA;subshrub;temperate;H;NA;NA;NA;NA;SRR22519520
S1401;Coincya monensis;Greuter & Burdet;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Coincya;monensis;BrassiWood/Kasper Hendriks;912252-1;3040600;76404;EUROPE;W. Europe to W. Medit.;1, 2;1, 3, 7;NA;10, 11, 12, 13, 20;11, 38, 75, 78;NA;BGM, COR, FRA, GER, GRB, ITA, MOR, POR, SAR, SPA;JAP, KTY, MIC, MRY, NCA, NET, NWY, PEN, SWI, VRG, WVA;NA;annual or perennial;temperate;H;NA;NA;NA;NA;SRR22519489
SRR8528341;Fourraea alpina;Greuter & Burdet;Brassicaceae;Brassicoideae;Brassicodae (II);Fourraeeae;Fourraea;alpina;BrassiToL/Luke Nikolov;914043-1;5376286;NA;EUROPE;C. & S. Europe;1;NA;NA;11, 12, 13;NA;NA;AUT, BGM, COR, CZE, FRA, GER, ITA, SPA, SWI, YUG;NA;NA;perennial;temperate;H;NA;NA;NA;NA;SRR8528341
S1458;Quezeliantha tibestica;H. Scholz;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Quezeliantha;tibestica;BrassiWood/Kasper Hendriks;911223-1;3041207;904109;AFRICA;Chad (NW. Tibesti);2;NA;NA;24;NA;NA;CHA;NA;NA;biennial;desert or dry shrubland;H;NA;NA;NA;NA;SRR22519620
S1266;Irania pendula;Hada_ & Chrtek;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Irania;pendula;BrassiWood/Kasper Hendriks;285712-1;5376441;1451144;ASIA-TEMPERATE;Iran;3;NA;NA;34;NA;NA;IRN;NA;NA;subshrub;temperate;H;NA;NA;NA;NA;SRR22519387
S1269;Irania multicaulis;Hada_ & Chrtek;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Irania;multicaulis;BrassiWood/Kasper Hendriks;285711-1;5376445;1451145;ASIA-TEMPERATE;NE. Iraq to Iran;3;NA;NA;34;NA;NA;IRN, IRQ;NA;NA;subshrub;temperate;W;NA;NA;NA;NA;SRR22519386
S1409;Irania umbellata;Hada_ & Chrtek;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Irania;umbellata;BrassiWood/Kasper Hendriks;285713-1;5376442;1451143;ASIA-TEMPERATE;NE. Iraq to Iran;3;NA;NA;34;NA;NA;IRN, IRQ;NA;NA;subshrub;temperate;W;NA;NA;NA;NA;SRR22519484
S1120;Alyssum lassiticum;Hal�csy;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Alyssum;lassiticum;BrassiWood/Kasper Hendriks;277585-1;3045074;515604;EUROPE;E. Kriti (Dhikti);1;NA;NA;13;NA;NA;KRI;NA;NA;subshrub;temperate;W;NA;NA;NA;NA;SRR22519512
S0903;Dithyrea californica;Harv.;Brassicaceae;Brassicoideae;Camelinodae (I);Physarieae;Dithyrea;californica;BrassiWood/Kasper Hendriks;30255887-2;3053543;76672;NORTHERN AMERICA;SW. U.S.A. to NW. Mexico;7;NA;NA;76, 79;NA;NA;ARI, CAL, MXN, NEV;NA;NA;annual;desert or dry shrubland;H;NA;NA;NA;NA;SRR22519649
S0308;Bornmuellera tymphaea;Hausskn.;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Bornmuellera;tymphaea;BrassiWood/Kasper Hendriks;279180-1;3047125;515651;EUROPE;NC. Greece;1;NA;NA;13;NA;NA;GRC;NA;NA;subshrub;temperate;W;NA;NA;NA;NA;SRR22519483
S0748;Degenia velebitica;Hayek;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Degenia;velebitica;BrassiWood/Kasper Hendriks;281915-1;3043200;515540;EUROPE;SW. Croatia;1;NA;NA;13;NA;NA;YUG;NA;NA;subshrub;temperate;H;NA;NA;NA;NA;SRR22519344
S1261;Aethionema orbiculatum;Hayek;Brassicaceae;Aethionemoideae;NA;Aethionemeae;Aethionema;orbiculatum;BrassiWood/Kasper Hendriks;277216-1;3051136;514468;EUROPE;NE. Greece (Athos);1;NA;NA;13;NA;NA;GRC;NA;NA;subshrub;temperate;W;NA;NA;NA;NA;SRR22519390
SRR8528347;Neotorularia torulosa;Hedge & J. L�onard;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Neotorularia;torulosa;BrassiToL/Luke Nikolov;943551-1;3047352;496037;EUROPE;SE. Spain, SE. Krym, N. Africa to Xinjiang and Arabian Pen.;1, 2, 3, 4;NA;NA;12, 14, 20, 32, 33, 34, 35, 36, 40;NA;NA;AFG, ALG, CHX, EGY, IRN, IRQ, KAZ, KGZ, KRY, KUW, LBS, LBY, MOR, NCS, PAK, PAL, SAU, SIN, SPA, TCS, TKM, TUN, TUR, TZK, UZB, WSA;NA;NA;annual;temperate;H;NA;NA;NA;NA;SRR8528347
S1400;Pachycladon fastigiatum;Heenan & A.D. Mitch.;Brassicaceae;Brassicoideae;Camelinodae (I);Microlepidieae;Pachycladon;fastigiatum;BrassiWood/Kasper Hendriks;20010441-1;5552480;993514;AUSTRALASIA;New Zealand South I.;5;NA;NA;51;NA;NA;NZS;NA;NA;NA;temperate;H;NA;NA;NA;NA;SRR22519490
