SAMPLE;SPECIES_NAME_PRINT;AUTHOR;FAMILY;SUBFAMILY;SUPERTRIBE;TRIBE;GENUS;SPECIES;DATASET;powo_id;gbif_usageKey;iNaturalist_id;WCVP_continent;WCVP_geographic_area;WCVP_WGSRPD_LEVEL_1_native;WCVP_WGSRPD_LEVEL_1_introduced;WCVP_WGSRPD_LEVEL_1_extinct;WCVP_WGSRPD_LEVEL_2_native;WCVP_WGSRPD_LEVEL_2_introduced;WCVP_WGSRPD_LEVEL_2_extinct;WCVP_WGSRPD_LEVEL_3_native;WCVP_WGSRPD_LEVEL_3_introduced;WCVP_WGSRPD_LEVEL_3_extinct;WCVP_lifeform_description;WCVP_climate_description;GROWTH_FORM;SOCIETAL_USE;COMMON_NAME;DUTCH_NAME;IUCN_redlistCategory;NCBI_SRA_id
S0376;Sisymbrella aspera;Spach;Brassicaceae;Brassicoideae;Camelinodae (I);Cardamineae;Sisymbrella;aspera;BrassiWood/Kasper Hendriks;1028647-2;3047402;203019;EUROPE;France to Iberian Pen., Morocco;1, 2;NA;NA;12, 20;NA;NA;ALG, FRA, MOR, POR, SPA;NA;NA;annual;temperate;H;NA;NA;NA;Least Concern;SRR22519572
S0620;Resetnikia triquetra;_paniel & al.;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Resetnikia;triquetra;BrassiWood/Kasper Hendriks;77152088-1;10753278;1188506;EUROPE;NW. Balkan Pen.;1;NA;NA;13;NA;NA;YUG;NA;NA;perennial or subshrub;temperate;H;NA;NA;NA;NA;SRR22519448
S1229;Odontarrhena pterocarpa;_paniel & al.;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Odontarrhena;pterocarpa;BrassiWood/Kasper Hendriks;77152057-1;11036426;987344;ASIA-TEMPERATE;SW. Türkiye;3;NA;NA;34;NA;NA;TUR;NA;NA;subshrub;temperate;W;NA;NA;NA;NA;SRR22519629
S0751;Delpinophytum patagonicum;Speg.;Brassicaceae;Brassicoideae;Unplaced;Unplaced;Delpinophytum;patagonicum;BrassiWood/Kasper Hendriks;77564-2;3043050;792439;SOUTHERN AMERICA;Argentina (S. Chubut to Santa Cruz);8;NA;NA;85;NA;NA;AGS;NA;NA;subshrub;temperate;W;NA;NA;NA;NA;SRR22519343
S0963;Braya alpina;Sternb. & Hoppe;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Braya;alpina;BrassiWood/Kasper Hendriks;279595-1;5373787;515265;EUROPE;E. Alps;1;NA;NA;11, 13;NA;NA;AUT, ITA;NA;NA;perennial;temperate;H;NA;NA;NA;NA;SRR22519534
S0298;Iodanthus pinnatifidus;Steud.;Brassicaceae;Brassicoideae;Camelinodae (I);Cardamineae;Iodanthus;pinnatifidus;BrassiWood/Kasper Hendriks;285696-1;3053966;164069;NORTHERN AMERICA;C. & E. U.S.A.;7;NA;NA;74, 75, 77, 78;NA;NA;ALA, ARK, ILL, INI, IOW, KAN, KTY, MIN, MRY, MSO, OHI, OKL, PEN, TEN, TEX, WIS, WVA;NA;NA;perennial;temperate;H;NA;NA;NA;NA;SRR22519636
SRR8528379;Kernera saxatilis;Sweet;Brassicaceae;Brassicoideae;Brassicodae (II);Kernereae;Kernera;saxatilis;BrassiToL/Luke Nikolov;941444-1;5374828;133490;EUROPE;N. & E. Spain to Romania;1;NA;NA;11, 12, 13;NA;NA;ALB, AUT, BUL, COR, CZE, FRA, GER, GRC, ITA, POL, ROM, SPA, SWI, YUG;NA;NA;perennial;temperate;H;NA;NA;NA;NA;SRR8528379
S0771;Ihsanalshehbazia granatensis;Tahir Ali & Thines;Brassicaceae;Brassicoideae;Brassicodae (II);Coluteocarpeae;Ihsanalshehbazia;granatensis;BrassiWood/Kasper Hendriks;77154274-1;10791709;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;H;NA;NA;NA;NA;SRR22519670
S1189;Friedrichkarlmeyeria umbellata;Tahir Ali & Thines;Brassicaceae;Brassicoideae;Brassicodae (II);Coluteocarpeae;Friedrichkarlmeyeria;umbellata;BrassiWood/Kasper Hendriks;77154272-1;11003006;NA;ASIA-TEMPERATE;Caucasus to N. Iran;3;NA;NA;33, 34;NA;NA;IRN, NCS, TCS;NA;NA;annual;temperate;H;NA;NA;NA;NA;SRR22519642
S0906;Rhizobotrya alpina;Tausch;Brassicaceae;Brassicoideae;Brassicodae (II);Kernereae;Rhizobotrya;alpina;BrassiWood/Kasper Hendriks;288573-1;3040717;362352;EUROPE;SE. Alps;1;NA;NA;13;NA;NA;ITA;NA;NA;perennial;temperate;H;NA;NA;NA;NA;SRR22519647
